"Int_no","Rue_1","Rue_2","Arrondissement","X","Y"
1136,"Gounod","Saint-Laurent","Villeray - Saint-Michel - Parc-Extension",294783.45,5044242.32
1137,"Guizot","Saint-Laurent","Villeray - Saint-Michel - Parc-Extension",294296.93,5044442.32
1138,"Jarry","Saint-Laurent","Villeray - Saint-Michel - Parc-Extension",294542.44,5044340.15
1139,"Jean-Talon","Saint-Laurent","Villeray - Saint-Michel - Parc-Extension",295563.85,5043871.24
1140,"Jean-Talon","Waverley","Villeray - Saint-Michel - Parc-Extension",295437.54,5043679.81
1141,"Liège","Saint-Laurent","Villeray - Saint-Michel - Parc-Extension",294058.62,5044541.88
1142,"Mozart","Saint-Laurent inter. Sud","Rosemont - Petite-Patrie",295776.11,5043729.58
1143,"Saint-Laurent","Saint-Zotique inter. Sud","Rosemont - Petite-Patrie",296042.81,5043556.08
1144,"Saint-Laurent","Villeray","Villeray - Saint-Michel - Parc-Extension",295026.79,5044140.45
1145,"Charland","Lille","Villeray - Saint-Michel - Parc-Extension",293888.33,5047862.18
1146,"Charland","Papineau","Villeray - Saint-Michel - Parc-Extension",293502.06,5047189.05
1147,"Émile-Journault","Papineau","Ahuntsic - Cartierville",294368.6,5046650.18
1148,"Fleury","Garnier","Ahuntsic - Cartierville",292739.87,5047368.64
1149,"Fleury","Lille","Ahuntsic - Cartierville",293203.17,5048270.04
1150,"Fleury","Lorimier","Ahuntsic - Cartierville",292998.9,5047926.26
1151,"Fleury","Papineau","Ahuntsic - Cartierville",292825.21,5047589.94
1152,"Fleury","Parthenais","Ahuntsic - Cartierville",293088.37,5048075.58
1153,"Fort-Lorette","Henri-Bourassa","Ahuntsic - Cartierville",292328.4,5047541.95
1154,"Francis","Henri-Bourassa","Ahuntsic - Cartierville",292240.87,5047287.11
1155,"François-H.-Prévost","Papineau","Ahuntsic - Cartierville",294756.69,5046409
1156,"Gouin","1635 Est","Ahuntsic - Cartierville",292194.53,5047444
1157,"Gouin","Papineau","Ahuntsic - Cartierville",292304.16,5047939.17
1158,"Henri-Bourassa","Larose","Ahuntsic - Cartierville",292973.25,5049005.94
1159,"Henri-Bourassa","Lille","Ahuntsic - Cartierville",292734.41,5048556.29
1160,"Henri-Bourassa","Lorimier","Ahuntsic - Cartierville",292566.5,5048207.94
1161,"Henri-Bourassa","Papineau","Ahuntsic - Cartierville",292431.22,5047826.52
1162,"Henri-Bourassa","Saint-Firmin","Ahuntsic - Cartierville",292535.59,5048118.59
1163,"Henri-Bourassa","Sackville","Ahuntsic - Cartierville",292897.02,5048837.71
1164,"Legendre","Papineau","Ahuntsic - Cartierville",294148.84,5046785
1165,"Louvain","Papineau","Ahuntsic - Cartierville",293672.14,5047074.71
1166,"Papineau","Prieur","Ahuntsic - Cartierville",292643.19,5047699.57
1167,"Papineau","Sauriol","Ahuntsic - Cartierville",293052.58,5047455.67
1168,"Papineau","Sauvé","Ahuntsic - Cartierville",293280.26,5047320.59
1169,"39 e Avenue","Beaubien","Rosemont - Petite-Patrie",299246.47,5048055.08
1170,"Berri","Émile-Journault","Ahuntsic - Cartierville",293683.89,5045239.14
1171,"Berri","Fleury","Ahuntsic - Cartierville",292123.02,5045874.77
1172,"Berri","Legendre","Ahuntsic - Cartierville",293443.98,5045337.39
1173,"Berri","Louvain","Ahuntsic - Cartierville",292963.85,5045533.96
1174,"Berri","Prieur","Ahuntsic - Cartierville",291883.41,5045973.13
1175,"Berri","Sauriol","Ahuntsic - Cartierville",292363.24,5045775.09
1176,"Berri","Sauvé","Ahuntsic - Cartierville",292623.4,5045669.04
1177,"Chabanel","Christophe-Colomb","Ahuntsic - Cartierville",293626.73,5046357.92
1178,"Chabanel","Lajeunesse","Ahuntsic - Cartierville",293234.43,5045507.6
1179,"Chabanel","Saint-Hubert","Ahuntsic - Cartierville",293367.58,5045834.68
1180,"Christophe-Colomb","Émile-Journault","Ahuntsic - Cartierville",294070.14,5046172.09
1181,"Christophe-Colomb","Louvain","Ahuntsic - Cartierville",293363.05,5046457.05
1182,"Christophe-Colomb","Fleury","Ahuntsic - Cartierville",292512.93,5046813.25
1183,"Christophe-Colomb","Étienne-Blanchard","Ahuntsic - Cartierville",294269.5,5046090.73
1184,"Christophe-Colomb","Legendre","Ahuntsic - Cartierville",293845.16,5046262.96
1185,"Christophe-Colomb","Prieur","Ahuntsic - Cartierville",292274.12,5046913.62
1186,"Christophe-Colomb","Sauriol","Ahuntsic - Cartierville",292753.85,5046712.96
1187,"Christophe-Colomb","Sauvé","Ahuntsic - Cartierville",292994.4,5046611.93
1188,"Émile-Journault","Lajeunesse","Ahuntsic - Cartierville",293713.97,5045308.87
1189,"Émile-Journault","Saint-Hubert","Ahuntsic - Cartierville",293852.81,5045639.32
1190,"Fleury","Georges-Baril","Ahuntsic - Cartierville",292388.19,5046510.04
1191,"Fleury","Hamel","Ahuntsic - Cartierville",292579.74,5046971.57
1192,"Fleury","Lajeunesse","Ahuntsic - Cartierville",292158.09,5045956.54
1193,"Fleury","Saint-Hubert","Ahuntsic - Cartierville",292291.49,5046280.54
1194,"Lajeunesse","Legendre","Ahuntsic - Cartierville",293473.89,5045408
1195,"Lajeunesse","Louvain","Ahuntsic - Cartierville",292992.44,5045608.08
1196,"Lajeunesse","Sauriol","Ahuntsic - Cartierville",292397.57,5045856.2
1197,"Lajeunesse","Sauvé","Ahuntsic - Cartierville",292648.19,5045752.25
1198,"Legendre","Saint-Hubert","Ahuntsic - Cartierville",293607.35,5045739.08
1199,"Louvain","Saint-Hubert","Ahuntsic - Cartierville",293126.12,5045934.06
1200,"Prieur","Saint-Hubert","Ahuntsic - Cartierville",292052.96,5046380.06
1201,"Saint-Hubert","Sauriol","Ahuntsic - Cartierville",292530.89,5046178.04
1202,"Saint-Hubert","Sauvé","Ahuntsic - Cartierville",292772.22,5046078.52
1203,"Beauharnois","Saint-Laurent","Ahuntsic - Cartierville",293490.35,5044761.32
1204,"Chabanel","Saint-Laurent","Ahuntsic - Cartierville",293003.6,5044959.88
1205,"Esplanade","Fleury","Ahuntsic - Cartierville",291792.7,5045100.54
1206,"Fleury","Saint-Laurent","Ahuntsic - Cartierville",291925.6,5045411.54
1207,"Legendre","Saint-Laurent","Ahuntsic - Cartierville",293247.6,5044858.55
1208,"Louvain","Saint-Laurent","Ahuntsic - Cartierville",292715.47,5045077.39
1209,"Meilleur","Sauvé","Ahuntsic - Cartierville",291961.32,5044476.11
1210,"Port-Royal","Saint-Laurent","Ahuntsic - Cartierville",292527.36,5045154.43
1211,"Prieur","Saint-Laurent","Ahuntsic - Cartierville",291686.74,5045514.91
1212,"Saint-Laurent","Sauriol","Ahuntsic - Cartierville",292107.5,5045333.54
1213,"Saint-Laurent","Sauvé","Ahuntsic - Cartierville",292317.14,5045241.26
1214,"Sauvé","Tolhurst","Ahuntsic - Cartierville",292098.44,5044766.55
1215,"Bocage","Laurentien","Ahuntsic - Cartierville",287234.44,5043459.11
1216,"Camille","Gouin/Ruisseau","Ahuntsic - Cartierville",284978.87,5041184.44
1217,"Dudemaine","Élie-Blanchard","Ahuntsic - Cartierville",289409.18,5043522.28
1218,"Dudemaine","O'Brien","Ahuntsic - Cartierville",289116.32,5043195.71
1219,"Beaubien","Esplanade","Rosemont - Petite-Patrie",296081.91,5043154.07
1220,"Gouin","Grenet","Ahuntsic - Cartierville",287601.12,5043617.5
1221,"Gouin","Henri-d'Arles","Ahuntsic - Cartierville",286798.23,5042981.39
1222,"Gouin","Hôpital du Sacré-Coeur","Ahuntsic - Cartierville",287905.97,5043817.5
1223,"Gouin","Lachapelle","Ahuntsic - Cartierville",287477.1,5043502.48
1224,"Gouin","Laurentien","Ahuntsic - Cartierville",287362.12,5043334.02
1225,"Gouin","Miséricorde","Ahuntsic - Cartierville",287802.25,5043734.16
1226,"Gouin","O'Brien","Ahuntsic - Cartierville",288121.22,5044084.49
1227,"Gouin","Somerset","Ahuntsic - Cartierville",287173.06,5043221.54
1228,"Gouin","Toupin","Ahuntsic - Cartierville",286334.48,5042700.37
1229,"Grenet","Salaberry","Ahuntsic - Cartierville",288168.31,5043100.99
1230,"Guertin","Salaberry","Ahuntsic - Cartierville",288790.07,5043803.46
1231,"Keller","Marcel-Laurin","Ahuntsic - Cartierville",288226.72,5042794.23
1232,"Lachapelle","Salaberry","Ahuntsic - Cartierville",288058.53,5042971.64
1233,"Louisbourg","Marcel-Laurin","Ahuntsic - Cartierville",288290.81,5042748.26
1234,"Laurentien","Salaberry","Ahuntsic - Cartierville",288001.71,5042921.26
1235,"Louisbourg","O'Brien","Ahuntsic - Cartierville",288877.68,5043414.04
1236,"Meulles","Salaberry","Ahuntsic - Cartierville",288319.3,5043267.99
1237,"O'Brien","Salaberry","Ahuntsic - Cartierville",288634.83,5043629.38
1238,"Saint-Jacques","6645 Saint-Jacques (Loblaws)","Côte-des-Neiges - Notre-Dame-de-Grâce",294962.12,5035644
1239,"Acadie","Chabanel","Ahuntsic - Cartierville",292527.1,5043731.57
1240,"Acadie","Charles-Gill","Ahuntsic - Cartierville",290409.96,5044005.37
1241,"Acadie","Dudemaine","Ahuntsic - Cartierville",290050.14,5044238.47
1242,"Acadie","Henri-Bourassa","Ahuntsic - Cartierville",290672.06,5043835.6
1243,"Saint-Dominique","Saint-Zotique","Rosemont - Petite-Patrie",296101.51,5043621.08
1244,"André-Ampère","Armand-Bombardier","Rivières-des-Prairies - Pointe-aux-Trembles",297551.05,5054987.56
1245,"Acadie","Louisbourg","Ahuntsic - Cartierville",289798.53,5044407
1246,"Acadie","Louvain","Ahuntsic - Cartierville",292249.82,5043847.28
1247,"Acadie","Persillier","Ahuntsic - Cartierville",291146.75,5043796.78
1248,"1 ere Avenue","Jean-Talon","Villeray - Saint-Michel - Parc-Extension",296918.38,5046109.08
1249,"Acadie","Sauvé","Ahuntsic - Cartierville",291866.3,5043983.69
1250,"Acadie","Port-Royal","Ahuntsic - Cartierville",292005.81,5043960.54
1251,"Bois-de-Boulogne","Henri-Bourassa","Ahuntsic - Cartierville",290851.84,5044240.85
1252,"Bois-de-Boulogne","Saint-Réal/Salaberry","Ahuntsic - Cartierville",289627.93,5044781.89
1253,"Dudemaine","James-Morrice","Ahuntsic - Cartierville",289723,5043874.51
1254,"Dudemaine","Pasteur","Ahuntsic - Cartierville",289907.68,5044078.73
1255,"Notre-Dame","5376 Est (Vopak accès Ouest)","Mercier - Hochelaga - Maisonneuve",302850.97,5046790.5
1256,"James-Morrice","Salaberry","Ahuntsic - Cartierville",289269.29,5044283.32
1257,"Poutrincourt","Salaberry","Ahuntsic - Cartierville",289179.4,5044196.8
1258,"Bates","Wilderton","Côte-des-Neiges - Notre-Dame-de-Grâce",294539.27,5041497.36
1259,"1 e Avenue","Masson","Rosemont - Petite-Patrie",298821.69,5045046.6
1260,"Côte-des-Neiges / Laird","Jean-Talon","Côte-des-Neiges - Notre-Dame-de-Grâce",293691.47,5040609
1262,"Acadie","Crémazie inter. Sud","Villeray - Saint-Michel - Parc-Extension",293282.28,5043401
1263,"Acadie","Crémazie inter. Nord","Ahuntsic - Cartierville",293100.66,5043486.5
1264,"Acadie","Crémazie bretelle Nord-Est","Ahuntsic - Cartierville",293133.47,5043527.5
1265,"Berri","Gouin","Ahuntsic - Cartierville",291400.04,5046172.49
1266,"Berri","Henri-Bourassa","Ahuntsic - Cartierville",291632.38,5046076.84
1267,"Chambord","Henri-Bourassa","Ahuntsic - Cartierville",291939.97,5046880.58
1268,"Christophe-Colomb","Gouin","Ahuntsic - Cartierville",291917,5047093.8
1269,"Christophe-Colomb","Henri-Bourassa","Ahuntsic - Cartierville",292116.29,5046981.15
1270,"Georges-Baril","Henri-Bourassa","Ahuntsic - Cartierville",291861.37,5046731.6
1271,"Gouin","Hôpital de la Merci","Ahuntsic - Cartierville",290225.78,5045267.5
1272,"Gouin","Lajeunesse","Ahuntsic - Cartierville",291443.94,5046246.32
1273,"Gouin","Millen","Ahuntsic - Cartierville",291563.58,5046386.8
1274,"Gouin","Saint-Hubert","Ahuntsic - Cartierville",291670.1,5046540.64
1275,"Gouin","Saint-Laurent","Ahuntsic - Cartierville",291188.29,5045731.53
1276,"Gouin","Tolhurst","Ahuntsic - Cartierville",290760.47,5045384.65
1277,"Gouin","Waverly","Ahuntsic - Cartierville",290986.47,5045537.07
1278,"Henri-Bourassa","Lajeunesse","Ahuntsic - Cartierville",291667.22,5046159.11
1279,"Henri-Bourassa","Laverdure","Ahuntsic - Cartierville",291533.46,5045805.21
1280,"Henri-Bourassa","Meilleur","Ahuntsic - Cartierville",291112.77,5044842.86
1281,"Henri-Bourassa","Millen","Ahuntsic - Cartierville",291717.8,5046324.56
1282,"Henri-Bourassa","Saint-Denis","Ahuntsic - Cartierville",291601.59,5045990.02
1283,"Henri-Bourassa","Saint-Hubert","Ahuntsic - Cartierville",291750.83,5046506.55
1284,"Henri-Bourassa","Saint-Laurent","Ahuntsic - Cartierville",291455.13,5045616.74
1285,"Henri-Bourassa","Tanguay","Ahuntsic - Cartierville",291174.53,5044968.22
1286,"Henri-Bourassa","Tolhurst","Ahuntsic - Cartierville",291259.11,5045159.25
1287,"Crémazie","Papineau inter. Sud-Ouest","Villeray - Saint-Michel - Parc-Extension",295258,5046012.5
1288,"Crémazie","Papineau inter. Sud-Est","Villeray - Saint-Michel - Parc-Extension",295359.9,5046049
1289,"Crémazie","Papineau inter. Nord-Est","Ahuntsic - Cartierville",295318,5046135.5
1290,"Crémazie","Papineau inter. Nord-Ouest","Ahuntsic - Cartierville",295210.75,5046101
1291,"Jacques-Casault","Papineau","Ahuntsic - Cartierville",295123.01,5046165.09
1292,"Christophe-Colomb","Crémazie inter. Nord","Ahuntsic - Cartierville",294673.6,5045655.5
1293,"Christophe-Colomb","Crémazie inter. Sud","Ahuntsic - Cartierville",294699.03,5045600.5
1294,"Crémazie","Lajeunesse inter. Nord","Villeray - Saint-Michel - Parc-Extension",294011.62,5045185
1295,"Crémazie","Lajeunesse inter. Sud","Villeray - Saint-Michel - Parc-Extension",294049.84,5045168
1296,"Crémazie","Saint-Denis inter. Nord","Ahuntsic - Cartierville",293937.34,5045061.5
1297,"Crémazie","Saint-Denis inter. Sud","Ahuntsic - Cartierville",293978.8,5045050
1298,"Crémazie","Saint-Hubert inter. Nord","Ahuntsic - Cartierville",294230.94,5045487.5
1299,"Crémazie","Saint-Hubert inter. Sud","Villeray - Saint-Michel - Parc-Extension",294275.78,5045465.5
1300,"Crémazie","Saint-Laurent inter. Sud-Ouest","Villeray - Saint-Michel - Parc-Extension",293739.4,5044588
1301,"Crémazie","Saint-Laurent inter. Sud-Est","Villeray - Saint-Michel - Parc-Extension",293792.6,5044708
1302,"Crémazie","Saint-Laurent int. Nord-Ouest","Ahuntsic - Cartierville",293702.8,5044613
1303,"Crémazie","Saint-Laurent inter. Nord-Est","Ahuntsic - Cartierville",293761.62,5044740
1304,"Crémazie","Saint-Michel inter. Sud-Ouest","Villeray - Saint-Michel - Parc-Extension",296481.5,5046912
1305,"Crémazie","Saint-Michel inter. Nord-Est","Villeray - Saint-Michel - Parc-Extension",296453.03,5047009.5
1306,"Crémazie","Saint-Michel inter. Sud-Est","Villeray - Saint-Michel - Parc-Extension",296516.88,5046966
1307,"Crémazie","Saint-Michel inter. Nord-Ouest","Villeray - Saint-Michel - Parc-Extension",296413.75,5046951.5
1308,"3 e Avenue","Sherbrooke","Rivières-des-Prairies - Pointe-aux-Trembles",303584.09,5055426.69
1309,"16 e Avenue","Sherbrooke","Rivières-des-Prairies - Pointe-aux-Trembles",303805.97,5056343.24
1310,"Sherbrooke","Tricentenaire","Rivières-des-Prairies - Pointe-aux-Trembles",303961.71,5056988.55
1311,"Robert-Chevalier","Sherbrooke","Rivières-des-Prairies - Pointe-aux-Trembles",304035.92,5057292.22
1312,"32 e Avenue","Sherbrooke Est","Rivières-des-Prairies - Pointe-aux-Trembles",304113.7,5057616.25
1313,"Saint-Jean-Baptiste","Sherbrooke","Rivières-des-Prairies - Pointe-aux-Trembles",303718.44,5055987.76
1314,"La Rousselière","Sherbrooke","Rivières-des-Prairies - Pointe-aux-Trembles",304404.87,5058830.75
1315,"36 e Avenue","Sherbrooke","Rivières-des-Prairies - Pointe-aux-Trembles",304170.36,5057850.49
1316,"40 e Avenue","Sherbrooke","Rivières-des-Prairies - Pointe-aux-Trembles",304252.04,5058189.04
1317,"53 e Avenue","Sherbrooke","Rivières-des-Prairies - Pointe-aux-Trembles",304482.27,5059138.93
1318,"81 e Avenue","Sherbrooke","Rivières-des-Prairies - Pointe-aux-Trembles",304977.31,5061157.42
1319,"91 e Avenue","Sherbrooke","Rivières-des-Prairies - Pointe-aux-Trembles",305493.37,5061944.06
1320,"Gouin","Sherbrooke","Rivières-des-Prairies - Pointe-aux-Trembles",305440.05,5061908.67
1321,"Sherbrooke","15200 Est (Polyv. P.A.T.)","Rivières-des-Prairies - Pointe-aux-Trembles",304856.97,5060676.5
1322,"Sherbrooke","15400 Est (C.I.P.)","Rivières-des-Prairies - Pointe-aux-Trembles",304917.7,5060924.5
1323,"Chatelain","Rosemont","Rosemont - Petite-Patrie",299967.27,5048416.14
1324,"1 ere Avenue","Saint-Zotique","Rosemont - Petite-Patrie",297475.78,5045786.38
1325,"La Rousselière","Montigny","Rivières-des-Prairies - Pointe-aux-Trembles",304829.31,5058728.65
1326,"René-Lévesque","Saint-Jean-Baptiste","Rivières-des-Prairies - Pointe-aux-Trembles",304766.32,5055747.33
1327,"3 e Avenue","Notre-Dame","Rivières-des-Prairies - Pointe-aux-Trembles",305368.94,5055018.46
1328,"8 e Avenue","Notre-Dame","Rivières-des-Prairies - Pointe-aux-Trembles",305499.39,5055372.63
1329,"16 e Avenue","Notre-Dame","Rivières-des-Prairies - Pointe-aux-Trembles",305596.79,5055948.13
1330,"26 e Avenue","Notre-Dame","Rivières-des-Prairies - Pointe-aux-Trembles",305623.16,5056911.28
1331,"32 e Avenue","Notre-Dame","Rivières-des-Prairies - Pointe-aux-Trembles",305472.14,5057317.95
1332,"43 e Avenue","Notre-Dame","Rivières-des-Prairies - Pointe-aux-Trembles",305279.8,5058189.03
1333,"53 e Avenue","Notre-Dame","Rivières-des-Prairies - Pointe-aux-Trembles",305263.78,5058952.09
1334,"57 e Avenue","Notre-Dame","Rivières-des-Prairies - Pointe-aux-Trembles",305316.04,5059245.16
1335,"81 e Avenue","Notre-Dame","Rivières-des-Prairies - Pointe-aux-Trembles",305622.51,5061016.34
1336,"Notre-Dame","13926 Est (C.L.S.C.)","Rivières-des-Prairies - Pointe-aux-Trembles",305237.28,5058502.5
